20201019133124,10.20.30.1/16,-
20201019133125,10.20.30.2/16,-
20201019133134,192.168.1.1/24,10
20201019133135,192.168.1.2/24,5
20201019133224,10.20.30.1/16,522
20201019133225,10.20.30.2/16,1
20201019133234,192.168.1.1/24,8
20201019133235,192.168.1.2/24,15
20201019133324,10.20.30.1/16,-
20201019133325,10.20.30.2/16,3
20201019134510,192.168.1.1/24,1
20201019135050,192.168.1.2/24,15
20201019135051,10.20.30.1/16,-
20201019135052,10.20.30.2/16,3
20201019135055,10.20.30.1/16,-
20201019135100,10.20.30.2/16,2
20201019135510,192.168.1.1/24,-
20201019135550,192.168.1.2/24,-
20201019135600,192.168.1.1/24,-
20201019135601,192.168.1.2/24,15
20201019135610,192.168.1.1/24,7
20201019135611,192.168.1.2/24,15